Date/Time (EST),2m Temperature (hr. avg) (F),2m Relative Humidity (percent),2m Station Pressure (mb)
2011-01-01 01:00:00,49.6,78.0,1006.1
2011-01-01 02:00:00,48.4,81.0,1005.7
2011-01-01 03:00:00,47.7,84.0,1005.5
2011-01-01 04:00:00,48.2,85.0,1004.8
2011-01-01 05:00:00,47.8,86.0,1004.2
2011-01-01 06:00:00,48.4,88.0,1004.7
2011-01-01 07:00:00,49.8,87.0,1004.8
2011-01-01 08:00:00,50.2,89.0,1004.9
2011-01-01 09:00:00,51.6,86.0,1005.2
2011-01-01 10:00:00,53.6,85.0,1005.2
2011-01-01 11:00:00,55.9,82.0,1004.9
2011-01-01 12:00:00,58.6,78.0,1003.5
2011-01-01 13:00:00,61.9,73.0,1002.9
2011-01-01 14:00:00,62.1,81.0,1002.4
2011-01-01 15:00:00,58.8,89.0,1002.2
2011-01-01 16:00:00,59.0,87.0,1002.3
2011-01-01 17:00:00,59.0,89.0,1002.5
2011-01-01 18:00:00,58.1,92.0,1002.9
2011-01-01 19:00:00,57.7,94.0,1003.1
2011-01-01 20:00:00,58.1,94.0,1002.5
2011-01-01 21:00:00,58.5,94.0,1000.1
2011-01-01 22:00:00,59.0,92.0,1000.3
2011-01-01 23:00:00,59.2,93.0,1000.9
2011-01-02 00:00:00,59.0,93.0,1000.8
2011-01-02 01:00:00,58.8,93.0,1000.1
2011-01-02 02:00:00,59.0,92.0,1000.0
2011-01-02 03:00:00,59.2,91.0,999.6
2011-01-02 04:00:00,59.5,90.0,999.0
2011-01-02 05:00:00,59.7,90.0,998.7
2011-01-02 06:00:00,60.1,90.0,998.9
2011-01-02 07:00:00,60.1,91.0,999.0
2011-01-02 08:00:00,59.7,93.0,999.0
2011-01-02 09:00:00,59.9,93.0,998.9
2011-01-02 10:00:00,60.3,92.0,998.7
2011-01-02 11:00:00,60.8,91.0,998.1
2011-01-02 12:00:00,61.2,91.0,997.0
2011-01-02 13:00:00,61.0,92.0,996.0
2011-01-02 14:00:00,61.0,92.0,995.5
2011-01-02 15:00:00,53.6,92.0,996.4
2011-01-02 16:00:00,51.1,92.0,997.2
2011-01-02 17:00:00,49.6,88.0,998.2
2011-01-02 18:00:00,48.9,78.0,999.3
2011-01-02 19:00:00,48.0,79.0,1000.6
2011-01-02 20:00:00,46.6,48.0,1001.4
2011-01-02 21:00:00,43.0,50.0,1002.3
2011-01-02 22:00:00,40.8,54.0,1003.2
2011-01-02 23:00:00,38.7,55.0,1003.5
2011-01-03 00:00:00,36.7,57.0,1003.9
2011-01-03 01:00:00,34.7,60.0,1004.2
2011-01-03 02:00:00,33.1,63.0,1004.6
2011-01-03 03:00:00,31.8,64.0,1005.0
2011-01-03 04:00:00,30.6,66.0,1005.3
2011-01-03 05:00:00,30.0,61.0,1005.4
2011-01-03 06:00:00,30.0,60.0,1006.4
2011-01-03 07:00:00,29.7,58.0,1007.2
2011-01-03 08:00:00,29.1,57.0,1007.9
2011-01-03 09:00:00,30.2,54.0,1008.7
2011-01-03 10:00:00,33.1,51.0,1009.5
2011-01-03 11:00:00,35.6,46.0,1009.8
2011-01-03 12:00:00,37.9,39.0,1008.8
2011-01-03 13:00:00,40.3,38.0,1007.9
2011-01-03 14:00:00,41.7,35.0,1007.5
2011-01-03 15:00:00,42.6,32.0,1006.9
2011-01-03 16:00:00,43.2,32.0,1006.9
2011-01-03 17:00:00,42.3,39.0,1006.9
2011-01-03 18:00:00,38.1,46.0,1007.0
2011-01-03 19:00:00,34.7,59.0,1007.3
2011-01-03 20:00:00,32.4,64.0,1007.2
2011-01-03 21:00:00,31.3,63.0,1007.0
2011-01-03 22:00:00,31.3,64.0,1006.9
2011-01-03 23:00:00,29.8,74.0,1007.0
2011-01-04 00:00:00,29.7,64.0,1006.1
2011-01-04 01:00:00,30.9,57.0,1005.5
2011-01-04 02:00:00,30.2,58.0,1005.1
2011-01-04 03:00:00,30.9,63.0,1004.9
2011-01-04 04:00:00,30.4,58.0,1004.1
2011-01-04 05:00:00,30.9,56.0,1003.1
2011-01-04 06:00:00,32.7,56.0,1003.5
2011-01-04 07:00:00,33.4,58.0,1003.8
2011-01-04 08:00:00,33.6,56.0,1003.4
2011-01-04 09:00:00,34.7,56.0,1003.3
2011-01-04 10:00:00,37.6,54.0,1003.3
2011-01-04 11:00:00,40.5,45.0,1002.6
2011-01-04 12:00:00,45.3,38.0,1001.0
2011-01-04 13:00:00,47.3,40.0,999.9
2011-01-04 14:00:00,48.6,40.0,998.5
2011-01-04 15:00:00,50.5,36.0,998.1
2011-01-04 16:00:00,50.7,39.0,997.5
2011-01-04 17:00:00,50.5,39.0,997.5
2011-01-04 18:00:00,47.1,45.0,997.7
2011-01-04 19:00:00,44.6,52.0,998.0
2011-01-04 20:00:00,43.0,55.0,998.0
2011-01-04 21:00:00,42.6,55.0,997.9
2011-01-04 22:00:00,43.2,56.0,997.9
2011-01-04 23:00:00,42.1,59.0,997.9
2011-01-05 00:00:00,41.4,59.0,997.7
2011-01-05 01:00:00,40.1,56.0,997.4
2011-01-05 02:00:00,38.3,64.0,997.8
2011-01-05 03:00:00,34.9,74.0,997.8
2011-01-05 04:00:00,33.3,74.0,997.7
2011-01-05 05:00:00,31.6,79.0,997.7
2011-01-05 06:00:00,31.6,69.0,998.1
2011-01-05 07:00:00,34.0,66.0,998.1
2011-01-05 08:00:00,32.0,71.0,998.6
2011-01-05 09:00:00,33.3,60.0,999.1
2011-01-05 10:00:00,40.6,51.0,998.9
2011-01-05 11:00:00,42.8,41.0,998.7
2011-01-05 12:00:00,44.8,41.0,997.5
2011-01-05 13:00:00,45.3,39.0,996.1
2011-01-05 14:00:00,45.3,39.0,995.1
2011-01-05 15:00:00,45.5,40.0,995.1
2011-01-05 16:00:00,45.3,41.0,994.6
2011-01-05 17:00:00,44.4,42.0,994.1
2011-01-05 18:00:00,42.8,53.0,993.7
2011-01-05 19:00:00,41.4,53.0,993.2
2011-01-05 20:00:00,41.2,65.0,993.0
2011-01-05 21:00:00,40.5,65.0,992.4
2011-01-05 22:00:00,39.9,59.0,992.4
2011-01-05 23:00:00,40.8,65.0,991.5
2011-01-06 00:00:00,39.9,66.0,990.3
2011-01-06 01:00:00,39.9,75.0,990.0
2011-01-06 02:00:00,38.7,86.0,989.7
2011-01-06 03:00:00,37.6,88.0,989.6
2011-01-06 04:00:00,36.9,90.0,989.0
2011-01-06 05:00:00,36.3,91.0,988.8
2011-01-06 06:00:00,36.0,92.0,989.0
2011-01-06 07:00:00,36.0,92.0,989.2
2011-01-06 08:00:00,36.5,86.0,989.7
2011-01-06 09:00:00,36.9,84.0,989.6
2011-01-06 10:00:00,37.6,75.0,989.5
2011-01-06 11:00:00,39.7,60.0,989.1
2011-01-06 12:00:00,41.9,57.0,988.6
2011-01-06 13:00:00,43.2,42.0,987.5
2011-01-06 14:00:00,44.4,40.0,986.6
